date,AAPL,AMZN,GOOGL,FB,GM,AMD,MSFT,MCD,MMM,SHLD,WMT,INTC
2017-09-05,162.08,162.08,965.27,941.48,170.72,36.850611423974,12.92,73.239302158273,159.1,194.33457892948,7.54,79.8
2017-09-01,164.05,164.05,978.25,951.99,172.02,36.97928667203,13.19,73.56764028777,159.81,195.63910315744,7.85,78.37
2017-08-31,164.0,164.0,980.6,955.24,172.0,36.167642799678,13.0,74.393460431655,159.97,196.32101354933,8.21,78.07
2017-08-30,163.35,163.35,967.59,943.63,169.92,35.454979887369,12.67,73.637287769784,159.53,197.06222049704,8.29,78.54
2017-08-29,162.91,162.91,954.06,935.75,168.05,35.158037007241,12.15,72.682122302158,158.44638499408,197.17093084937,8.46,78.77
2017-08-28,161.47,161.47,946.02,928.13,167.24,35.148138911236,12.23,72.463230215827,158.73468623419,195.31297210045,8.62,78.03
2017-08-25,159.86,159.86,945.26,930.5,166.32,35.237221775275,12.425,72.45328057554,157.88966535801,194.22586857715,8.52,78.63
2017-08-24,159.27,159.27,952.45,936.89,167.74,35.158037007241,12.505,72.323935251799,157.48206705303,192.52603397707,8.55,78.34
2017-08-23,159.98,159.98,958.0,942.58,168.71,35.128342719228,12.48,72.353784172662,157.87972393594,193.53407542595,8.57,79.96
2017-08-22,159.78,159.78,966.9,940.4,169.64,34.940278895146,12.175,72.791568345324,158.70486196797,193.81079268643,9.03,80.02
2017-08-21,157.21,157.21,953.29,920.87,167.78,34.554253150979,12.05,71.786654676259,157.43235994267,192.71380640383,8.55,79.71
2017-08-18,157.5,157.5,958.47,926.18,167.41,34.475068382944,12.376,72.124942446043,156.83587461831,192.84228227476,8.65,79.31
2017-08-17,157.87,157.87,960.57,927.66,166.91,34.643336015017,12.34,72.035395683453,156.96511310525,191.95283393751,8.2,79.7
2017-08-16,160.95,160.95,978.18,944.27,170.0,35.385693215339,12.63,73.279100719424,157.96919673459,189.25484064786,8.55,80.98
2017-08-15,161.6,161.6,982.74,938.08,171.0,35.177833199249,13.02,72.85126618705,156.69669470929,188.91882683157,8.63,80.77
2017-08-14,159.85,159.85,983.3,938.93,170.75,35.108546527219,12.76,72.831472336707,156.33880351468,187.6044198443,8.61,80.7
2017-08-11,157.48,157.48,967.99,930.09,168.08,34.574049342987,12.23,71.752707493019,156.37856920297,187.98984745711,8.88,80.4
2017-08-10,155.27,155.27,956.92,923.59,167.4,34.524558862966,12.12,70.673942649331,155.70255250203,188.12820608734,8.75,80.66
2017-08-09,160.40914817191,160.40914817191,982.01,940.08,171.18,34.920482703138,12.83,71.723016717505,154.01251074967,186.43825424657,9.35,81.61
